"bin","ID","time_start_sec","time_end_sec","Distance_m","Mean_speed_m_s","Max_speed_m_s","Time_immobile_s","Immobile_episodes","Absolute_turn_angle_deg","Meander_deg_per_m","Bottom_entries","Bottom_time_s","Middle_entries","Middle_time_s","Top_entries","Top_time_s","Mean_dist_from_bottom_m","Acceleration_episodes_500ms","Acceleration_time_s","Tortuosity_episodes_1s","Tortuosity_time_s","Zone_count","IM_time_s","IM_episodes","NB_time_s","NB_episodes","HS_time_s","HS_episodes","TR_time_s","TR_episodes"
6,30,150,180,1.65413680762652,0.0551378935875505,0.0930737701080919,0,0,2883.9454045107,1743.47453681828,3,14.6,6,7.1,2,5.83333333333333,0.0348191304461002,0,0,1,1.46666666666667,3,0,0,24.9333333333333,7,4.33333333333333,6,0.733333333333333,2
7,30,180,210,2.01275072519532,0.0670916908398441,0.11604399445554,0,0,4299.72834305212,2136.24483609855,4,12.3333333333333,9,8.4,5,9.26666666666667,0.04627146948181,5,3.63333333333333,4,2.33333333333333,3,0,0,18.0666666666667,8,11.3,9,0.633333333333333,1
8,30,210,240,1.97835851286194,0.0659452837620646,0.0999556573960425,0,0,4471.90652906499,2260.41260974273,3,11.0666666666667,8,11.8333333333333,6,6.56666666666667,0.0436374537708407,8,4.73333333333333,4,3.93333333333333,3,0,0,16.7,11,11.5,10,1.8,1
9,30,240,270,1.9199562471933,0.06399854157311,0.0969032249373364,0,0,3390.60911779718,1765.98249192072,6,11.5333333333333,10,15.1333333333333,3,3.33333333333333,0.0410194991323524,4,2.56666666666667,3,1.5,3,0,0,24.2,7,3.6,5,2.2,2
10,30,270,300,1.8295290453883,0.0609843015129434,0.0841528989018326,0,0,3395.80045390403,1856.10633647158,3,3.36666666666667,11,13.4666666666667,8,13.1666666666667,0.0593484251902237,1,0.566666666666667,3,1.93333333333333,3,0,0,21.1,11,8.26666666666667,9,0.633333333333333,1
1,31,0,30,0,0,0.00659702009570112,27.6666666666667,1,0,NA,0,29.3,0,0,0,0,0.00198287676971359,0,0,0,0,3,29,3,1,2,0,0,0,0
2,31,30,60,0,0,0.00372667924020124,30,0,0,NA,0,29.8,0,0,0,0,0.00212179696525249,0,0,0,0,3,30,1,0,0,0,0,0,0
3,31,60,90,0,0,0.00248388777978512,30,0,0,NA,0,30,0,0,0,0,0.00284997341579861,0,0,0,0,3,30,1,0,0,0,0,0,0
4,31,90,120,0,0,0.00273432812534298,30,0,0,NA,0,30,0,0,0,0,0.00304086540661958,0,0,0,0,3,30,1,0,0,0,0,0,0
5,31,120,150,0.297758123679294,0.00992527078930982,0.0628256626366075,13.7,0,1001.1030620758,3362.13517772585,0,30,0,0,0,0,0.00417825989355917,0,0,0,0,3,15.4333333333333,3,12.9,4,1.66666666666667,2,0,0
